source,news_count,intensity_index,last_update,cycle
elconfidencial,148,6.7,2026-03-12 20:03,2026-03-12 20:03
elmundo_espana,129,5.9,2026-03-12 20:03,2026-03-12 20:03
bbc_mundo,126,5.7,2026-03-12 20:03,2026-03-12 20:03
maldita,112,5.1,2026-03-12 20:03,2026-03-12 20:03
elmundo_internacional,96,4.4,2026-03-12 20:03,2026-03-12 20:03
elpais_internacional,78,3.5,2026-03-12 20:03,2026-03-12 20:03
newtral,66,3.0,2026-03-12 20:03,2026-03-12 20:03
20minutos,2199,100.0,2026-03-12 20:33,2026-03-12 20:33
heraldo_aragon,1939,88.2,2026-03-12 20:33,2026-03-12 20:33
levante_emv,1890,85.9,2026-03-12 20:33,2026-03-12 20:33
google_news_es,1871,85.1,2026-03-12 20:33,2026-03-12 20:33
okdiario,1863,84.7,2026-03-12 20:33,2026-03-12 20:33
lavanguardia,1665,75.7,2026-03-12 20:33,2026-03-12 20:33
elcorreo,1508,68.6,2026-03-12 20:33,2026-03-12 20:33
elpais,1241,56.4,2026-03-12 20:33,2026-03-12 20:33
eldiario,785,35.7,2026-03-12 20:33,2026-03-12 20:33
huffington_es,603,27.4,2026-03-12 20:33,2026-03-12 20:33
expansion,485,22.1,2026-03-12 20:33,2026-03-12 20:33
elespanol,458,20.8,2026-03-12 20:33,2026-03-12 20:33
elmundo,449,20.4,2026-03-12 20:33,2026-03-12 20:33
google_news_politica,391,17.8,2026-03-12 20:33,2026-03-12 20:33
france24_es,372,16.9,2026-03-12 20:33,2026-03-12 20:33
infolibre,257,11.7,2026-03-12 20:33,2026-03-12 20:33
europapress,255,11.6,2026-03-12 20:33,2026-03-12 20:33
elconfidencial,148,6.7,2026-03-12 20:33,2026-03-12 20:33
elmundo_espana,129,5.9,2026-03-12 20:33,2026-03-12 20:33
bbc_mundo,126,5.7,2026-03-12 20:33,2026-03-12 20:33
maldita,112,5.1,2026-03-12 20:33,2026-03-12 20:33
elmundo_internacional,96,4.4,2026-03-12 20:33,2026-03-12 20:33
elpais_internacional,78,3.5,2026-03-12 20:33,2026-03-12 20:33
newtral,66,3.0,2026-03-12 20:33,2026-03-12 20:33
20minutos,2199,100.0,2026-03-12 21:03,2026-03-12 21:03
heraldo_aragon,1943,88.4,2026-03-12 21:03,2026-03-12 21:03
levante_emv,1896,86.2,2026-03-12 21:03,2026-03-12 21:03
google_news_es,1883,85.6,2026-03-12 21:03,2026-03-12 21:03
okdiario,1867,84.9,2026-03-12 21:03,2026-03-12 21:03
lavanguardia,1665,75.7,2026-03-12 21:03,2026-03-12 21:03
elcorreo,1530,69.6,2026-03-12 21:03,2026-03-12 21:03
elpais,1242,56.5,2026-03-12 21:03,2026-03-12 21:03
eldiario,786,35.7,2026-03-12 21:03,2026-03-12 21:03
huffington_es,606,27.6,2026-03-12 21:03,2026-03-12 21:03
expansion,485,22.1,2026-03-12 21:03,2026-03-12 21:03
elespanol,461,21.0,2026-03-12 21:03,2026-03-12 21:03
elmundo,450,20.5,2026-03-12 21:03,2026-03-12 21:03
google_news_politica,392,17.8,2026-03-12 21:03,2026-03-12 21:03
france24_es,377,17.1,2026-03-12 21:03,2026-03-12 21:03
infolibre,257,11.7,2026-03-12 21:03,2026-03-12 21:03
europapress,256,11.6,2026-03-12 21:03,2026-03-12 21:03
elconfidencial,148,6.7,2026-03-12 21:03,2026-03-12 21:03
elmundo_espana,129,5.9,2026-03-12 21:03,2026-03-12 21:03
bbc_mundo,126,5.7,2026-03-12 21:03,2026-03-12 21:03
maldita,112,5.1,2026-03-12 21:03,2026-03-12 21:03
elmundo_internacional,96,4.4,2026-03-12 21:03,2026-03-12 21:03
elpais_internacional,78,3.5,2026-03-12 21:03,2026-03-12 21:03
newtral,66,3.0,2026-03-12 21:03,2026-03-12 21:03
20minutos,2210,100.0,2026-03-12 21:33,2026-03-12 21:33
heraldo_aragon,1943,87.9,2026-03-12 21:33,2026-03-12 21:33
levante_emv,1900,86.0,2026-03-12 21:33,2026-03-12 21:33
google_news_es,1888,85.4,2026-03-12 21:33,2026-03-12 21:33
okdiario,1869,84.6,2026-03-12 21:33,2026-03-12 21:33
lavanguardia,1665,75.3,2026-03-12 21:33,2026-03-12 21:33
elcorreo,1532,69.3,2026-03-12 21:33,2026-03-12 21:33
elpais,1243,56.2,2026-03-12 21:33,2026-03-12 21:33
eldiario,787,35.6,2026-03-12 21:33,2026-03-12 21:33
huffington_es,609,27.6,2026-03-12 21:33,2026-03-12 21:33
expansion,485,21.9,2026-03-12 21:33,2026-03-12 21:33
elespanol,462,20.9,2026-03-12 21:33,2026-03-12 21:33
elmundo,452,20.5,2026-03-12 21:33,2026-03-12 21:33
google_news_politica,392,17.7,2026-03-12 21:33,2026-03-12 21:33
france24_es,377,17.1,2026-03-12 21:33,2026-03-12 21:33
infolibre,258,11.7,2026-03-12 21:33,2026-03-12 21:33
europapress,256,11.6,2026-03-12 21:33,2026-03-12 21:33
elconfidencial,148,6.7,2026-03-12 21:33,2026-03-12 21:33
elmundo_espana,129,5.8,2026-03-12 21:33,2026-03-12 21:33
bbc_mundo,127,5.7,2026-03-12 21:33,2026-03-12 21:33
maldita,112,5.1,2026-03-12 21:33,2026-03-12 21:33
elmundo_internacional,96,4.3,2026-03-12 21:33,2026-03-12 21:33
elpais_internacional,78,3.5,2026-03-12 21:33,2026-03-12 21:33
newtral,66,3.0,2026-03-12 21:33,2026-03-12 21:33
20minutos,2219,100.0,2026-03-12 22:03,2026-03-12 22:03
heraldo_aragon,1951,87.9,2026-03-12 22:03,2026-03-12 22:03
levante_emv,1909,86.0,2026-03-12 22:03,2026-03-12 22:03
google_news_es,1892,85.3,2026-03-12 22:03,2026-03-12 22:03
okdiario,1872,84.4,2026-03-12 22:03,2026-03-12 22:03
lavanguardia,1668,75.2,2026-03-12 22:03,2026-03-12 22:03
elcorreo,1537,69.3,2026-03-12 22:03,2026-03-12 22:03
elpais,1246,56.2,2026-03-12 22:03,2026-03-12 22:03
eldiario,787,35.5,2026-03-12 22:03,2026-03-12 22:03
huffington_es,611,27.5,2026-03-12 22:03,2026-03-12 22:03
expansion,486,21.9,2026-03-12 22:03,2026-03-12 22:03
elespanol,463,20.9,2026-03-12 22:03,2026-03-12 22:03
elmundo,452,20.4,2026-03-12 22:03,2026-03-12 22:03
google_news_politica,392,17.7,2026-03-12 22:03,2026-03-12 22:03
france24_es,377,17.0,2026-03-12 22:03,2026-03-12 22:03
infolibre,258,11.6,2026-03-12 22:03,2026-03-12 22:03
europapress,257,11.6,2026-03-12 22:03,2026-03-12 22:03
elconfidencial,148,6.7,2026-03-12 22:03,2026-03-12 22:03
elmundo_espana,129,5.8,2026-03-12 22:03,2026-03-12 22:03
bbc_mundo,127,5.7,2026-03-12 22:03,2026-03-12 22:03
maldita,112,5.0,2026-03-12 22:03,2026-03-12 22:03
elmundo_internacional,96,4.3,2026-03-12 22:03,2026-03-12 22:03
elpais_internacional,78,3.5,2026-03-12 22:03,2026-03-12 22:03
newtral,66,3.0,2026-03-12 22:03,2026-03-12 22:03
20minutos,2232,100.0,2026-03-12 22:33,2026-03-12 22:33
heraldo_aragon,1952,87.5,2026-03-12 22:33,2026-03-12 22:33
levante_emv,1914,85.8,2026-03-12 22:33,2026-03-12 22:33
google_news_es,1897,85.0,2026-03-12 22:33,2026-03-12 22:33
okdiario,1877,84.1,2026-03-12 22:33,2026-03-12 22:33
lavanguardia,1672,74.9,2026-03-12 22:33,2026-03-12 22:33
elcorreo,1538,68.9,2026-03-12 22:33,2026-03-12 22:33
elpais,1249,56.0,2026-03-12 22:33,2026-03-12 22:33
eldiario,787,35.3,2026-03-12 22:33,2026-03-12 22:33
huffington_es,614,27.5,2026-03-12 22:33,2026-03-12 22:33
expansion,486,21.8,2026-03-12 22:33,2026-03-12 22:33
elespanol,464,20.8,2026-03-12 22:33,2026-03-12 22:33
elmundo,452,20.3,2026-03-12 22:33,2026-03-12 22:33
google_news_politica,393,17.6,2026-03-12 22:33,2026-03-12 22:33
france24_es,381,17.1,2026-03-12 22:33,2026-03-12 22:33
infolibre,258,11.6,2026-03-12 22:33,2026-03-12 22:33
europapress,258,11.6,2026-03-12 22:33,2026-03-12 22:33
elconfidencial,148,6.6,2026-03-12 22:33,2026-03-12 22:33
elmundo_espana,129,5.8,2026-03-12 22:33,2026-03-12 22:33
bbc_mundo,127,5.7,2026-03-12 22:33,2026-03-12 22:33
maldita,112,5.0,2026-03-12 22:33,2026-03-12 22:33
